json_path,tempo,mode,tonic,density,tempo_band,density_bucket,mood,source,predicted_mood,pred_confidence,human_mood
output_basslines/.38 Special/Caught Up In You.json,120.0,major,E,9.005,fast,high,joyful,heuristic,,,
output_basslines/.38 Special/Fantasy Girl.json,175.0,major,E,2.264,fast,low,neutral,neutral,joyful,0.500112,
"output_basslines/10,000_Maniacs/A_Campfire_Song.json",135.0,major,D,3.889,fast,high,joyful,heuristic,,,
output_basslines/101_Strings/Theme_From_The_Godfather.json,80.0,minor,C,1.337,slow,low,melancholic,heuristic,,,
output_basslines/10cc/Dreadlock_Holiday.json,103.0,major,E-,23.804,med,high,easygoing,heuristic,,,
output_basslines/10cc/Im_Not_In_Love.json,65.0,major,A-,16.037,slow,high,neutral,neutral,calm,0.496483,
output_basslines/10cc/The_Things_We_Do_for_Love.json,111.0,minor,F#,3.87,fast,high,angry,heuristic,,,
output_basslines/1910_Fruitgum_Company/Simon_Says.json,130.0,major,A,4.421,fast,high,joyful,heuristic,,,
output_basslines/20_Fingers/Lick_It.json,126.0,minor,B-,10.379,fast,high,angry,heuristic,,,
output_basslines/20_Fingers/Short_Dick_Man.json,128.0,minor,A,2.773,fast,med,angry,pred@≥0.68,angry,0.721855,
output_basslines/2Boys/I_Wont_Let_You_Down.json,126.0,minor,C,5.781,fast,high,angry,heuristic,,,
output_basslines/2_Brothers_on_the_4th_Floor/Come_Take_My_Hand.json,168.0,minor,D,17.067,fast,high,angry,heuristic,,,
output_basslines/2_Brothers_on_the_4th_Floor/Let_Me_Be_Free.json,135.0,minor,A,6.966,fast,high,angry,heuristic,,,
output_basslines/2_Brothers_on_the_4th_Floor/Never_Alone.json,136.0,minor,G,26.322,fast,high,angry,heuristic,,,
output_basslines/2_Unlimited/Get_Ready_for_This.json,125.0,minor,E,15.352,fast,high,angry,heuristic,,,
output_basslines/2_Unlimited/Here_I_Go.json,140.0,minor,G,7.262,fast,high,angry,heuristic,,,
output_basslines/2_Unlimited/Let_the_Beat_Control_Your_Body.json,140.0,minor,G#,7.458,fast,high,angry,heuristic,,,
output_basslines/2_Unlimited/Maximum_Overdrive.json,131.0,major,C#,4.981,fast,high,joyful,heuristic,,,
output_basslines/2_Unlimited/No_Limit.json,120.0,minor,C#,6.488,fast,high,angry,heuristic,,,
output_basslines/2_Unlimited/No_Limit_extended_.json,141.0,minor,E-,5.532,fast,high,angry,heuristic,,,
output_basslines/2_Unlimited/No_Limits.json,120.0,minor,C#,6.488,fast,high,angry,heuristic,,,
output_basslines/2_Unlimited/No_One.json,133.0,minor,C,3.714,fast,high,angry,heuristic,,,
