json_path,mood,mood_raw,tempo,mode,tonic,density,tempo_band,density_bucket,source,predicted_mood,pred_confidence,human_mood
output_basslines/.38 Special/Caught Up In You.json,joyful,joyful,120.0,major,E,9.005,fast,high,heuristic,,,
"output_basslines/10,000_Maniacs/A_Campfire_Song.json",joyful,joyful,135.0,major,D,3.889,fast,high,heuristic,,,
output_basslines/101_Strings/Theme_From_The_Godfather.json,melancholic_wistful,melancholic,80.0,minor,C,1.337,slow,low,heuristic,,,
output_basslines/10cc/Dreadlock_Holiday.json,calm_easygoing,easygoing,103.0,major,E-,23.804,med,high,heuristic,,,
output_basslines/10cc/The_Things_We_Do_for_Love.json,angry,angry,111.0,minor,F#,3.87,fast,high,heuristic,,,
output_basslines/1910_Fruitgum_Company/Simon_Says.json,joyful,joyful,130.0,major,A,4.421,fast,high,heuristic,,,
output_basslines/20_Fingers/Lick_It.json,angry,angry,126.0,minor,B-,10.379,fast,high,heuristic,,,
output_basslines/20_Fingers/Short_Dick_Man.json,angry,angry,128.0,minor,A,2.773,fast,med,pred@≥0.68,angry,0.721855,
output_basslines/2Boys/I_Wont_Let_You_Down.json,angry,angry,126.0,minor,C,5.781,fast,high,heuristic,,,
output_basslines/2_Brothers_on_the_4th_Floor/Come_Take_My_Hand.json,angry,angry,168.0,minor,D,17.067,fast,high,heuristic,,,
output_basslines/2_Brothers_on_the_4th_Floor/Let_Me_Be_Free.json,angry,angry,135.0,minor,A,6.966,fast,high,heuristic,,,
output_basslines/2_Brothers_on_the_4th_Floor/Never_Alone.json,angry,angry,136.0,minor,G,26.322,fast,high,heuristic,,,
output_basslines/2_Unlimited/Get_Ready_for_This.json,angry,angry,125.0,minor,E,15.352,fast,high,heuristic,,,
output_basslines/2_Unlimited/Here_I_Go.json,angry,angry,140.0,minor,G,7.262,fast,high,heuristic,,,
output_basslines/2_Unlimited/Let_the_Beat_Control_Your_Body.json,angry,angry,140.0,minor,G#,7.458,fast,high,heuristic,,,
output_basslines/2_Unlimited/Maximum_Overdrive.json,joyful,joyful,131.0,major,C#,4.981,fast,high,heuristic,,,
output_basslines/2_Unlimited/No_Limit.json,angry,angry,120.0,minor,C#,6.488,fast,high,heuristic,,,
output_basslines/2_Unlimited/No_Limit_extended_.json,angry,angry,141.0,minor,E-,5.532,fast,high,heuristic,,,
output_basslines/2_Unlimited/No_Limits.json,angry,angry,120.0,minor,C#,6.488,fast,high,heuristic,,,
output_basslines/2_Unlimited/No_One.json,angry,angry,133.0,minor,C,3.714,fast,high,heuristic,,,
output_basslines/2_Unlimited/The_Real_Thing.json,angry,angry,143.0,minor,A,7.479,fast,high,heuristic,,,
output_basslines/2_Unlimited/Tribal_Dance_edit_.json,angry,angry,130.0,minor,F,19.462,fast,high,heuristic,,,
output_basslines/2_Unlimited/Twilight_Zone.json,angry,angry,127.0,minor,B-,7.184,fast,high,heuristic,,,
output_basslines/2_Unlimited/Workaholic.json,angry,angry,130.0,minor,F,19.462,fast,high,heuristic,,,
output_basslines/311/All_Mixed_Up.json,melancholic_wistful,wistful,92.0,minor,F,8.35,med,high,heuristic,,,
output_basslines/311/T_P_Combo.json,melancholic_wistful,wistful,100.0,minor,E,11.26,med,high,heuristic,,,
output_basslines/702/Where_My_Girls_At.json,melancholic_wistful,wistful,93.0,minor,F,3.229,med,med,heuristic,,,
output_basslines/808_State/Pacific_202.json,joyful,joyful,126.7,major,C,11.381,fast,high,heuristic,,,
output_basslines/883/Andra_tutto_bene_58_.json,calm_easygoing,easygoing,92.0,major,F,4.91,med,high,heuristic,,,
output_basslines/883/Chiuditi_nel_cesso.json,joyful,joyful,125.0,major,C,6.057,fast,high,heuristic,,,
output_basslines/883/Con_un_deca.json,joyful,joyful,120.0,major,G,6.101,fast,high,heuristic,,,
output_basslines/883/Cumuni.json,joyful,joyful,120.0,major,F,14.919,fast,high,heuristic,,,
output_basslines/883/Dimmi_perche_remix_.json,joyful,joyful,114.0,major,F,7.466,fast,high,heuristic,,,
output_basslines/883/Grazie_mille.json,calm_easygoing,easygoing,106.0,major,E-,12.587,med,high,heuristic,,,
output_basslines/883/Hanno_ucciso_luomo_ragno.json,angry,angry,120.0,minor,A,6.016,fast,high,heuristic,,,
output_basslines/883/Innamorare_tanto.json,joyful,joyful,131.0,major,G,11.909,fast,high,heuristic,,,
output_basslines/883/La_regola_dellamico.json,joyful,joyful,128.0,major,C,4.812,fast,high,heuristic,,,
output_basslines/883/Nella_notte.json,angry,angry,129.0,minor,D,7.509,fast,high,heuristic,,,
output_basslines/883/Nella_notte_Molella_remix_.json,angry,angry,129.0,minor,D,7.509,fast,high,heuristic,,,
output_basslines/883/Non_mi_arrendo.json,calm_easygoing,easygoing,101.0,major,B-,6.264,med,high,heuristic,,,
output_basslines/883/Non_ti_passa_piu.json,joyful,joyful,136.0,major,E-,6.724,fast,high,heuristic,,,
output_basslines/883/Nord_Sud_Ovest_Est.json,joyful,joyful,119.0,major,G,5.727,fast,high,heuristic,,,
output_basslines/883/Rotta_x_casa_di_Dio.json,joyful,joyful,121.0,major,F,6.31,fast,high,heuristic,,,
output_basslines/883/Sei_un_mito.json,joyful,joyful,122.0,major,F,8.565,fast,high,heuristic,,,
output_basslines/883/Senza_averti_qui.json,calm_easygoing,easygoing,106.0,major,E,6.995,med,high,heuristic,,,
output_basslines/883/Tieni_il_tempo.json,joyful,joyful,118.0,major,F,5.004,fast,high,heuristic,,,
output_basslines/883/Un_giorno_cosi.json,joyful,joyful,119.0,major,A,9.763,fast,high,heuristic,,,
output_basslines/883/Viaggio_al_centro_del_mondo.json,joyful,joyful,120.0,major,F,7.384,fast,high,heuristic,,,
