artist_folder,midi_file,tonic,mode
VOF_de_Kunst,Een_kopje_koffie.mid,G,major
Eubie_Blake,Charleston_Rag.mid,C#,major
Eubie_Blake,Chevy_Chase.mid,D,minor
"Wilson,Jackie",I_Get_the_Sweetest_Feeling.mid,B-,major
"Wilson,Jackie",Your_Love_Keeps_Lifting_Me_Higher_Higher.mid,G,major
The_Escape_Club,Shake_for_the_Sheik.mid,E,major
Morricone_Ennio,"The_Good,_the_Bad_The_Ugly.mid",A-,major
Morricone_Ennio,Luomo_Dellarmonica.mid,D,major
Honey_Cone,Want_Ads.mid,C#,major
The_Four_Aces,The_Gang_That_Sang_Heart_of_My_Heart.mid,E,major
Vaughn,Greensleeves.mid,F,minor
Vaughn,Petite_Fleur.mid,G#,minor
Vaughn,Isle_of_Capri.mid,F,major
Vaughn,Blue_Tango.mid,D,major
Cocciante,Io_canto.mid,G,major
Cocciante,Margherita.mid,C,minor
Cocciante,Quando_finisce_un_amore.mid,B,major
Cocciante,Se_stiamo_insieme.mid,C#,minor
Cocciante,Celeste_nostalgia.mid,B-,minor
Cocciante,Bella_senzanima.mid,B-,major
Cocciante,In_bicicletta.mid,A,major
Cocciante,Un_nuovo_amico.mid,F#,major
Cocciante,Tu_sei_il_mio_amico_carissimo.mid,E,minor
Cocciante,Ammassati_e_distanti.mid,F,minor
Cocciante,Un_buco_nel_cuore.mid,E,major
Cocciante,Questione_di_feeling_feat._Mina_.mid,E-,major
Cocciante,Sincerita.mid,G,minor
Cocciante,A_mano_a_mano.mid,A,minor
Cocciante,E_passata_una_nuvola.mid,E,major
Cocciante,"Parole_sante,_zia_Lucia.mid",D,minor
Cocciante,Cervo_a_primavera.mid,E-,minor
Mr._Mister,Broken_Wings.mid,B,minor
Julian_Lennon,Too_Late_for_Goodbyes.mid,A,major
Del_Shannon,Runaway.mid,D,major
Del_Shannon,Keep_Searchin.mid,A,minor
Dick_Hyman,Where_or_When.mid,E-,major
Dick_Hyman,"Oh,_Lady_Be_Good.mid",F,major
Thompson_Twins,Doctor_Doctor.mid,F,minor
Thompson_Twins,Hold_Me_Now.mid,G,major
LIGABUE,Quella_che_non_sei.mid,C,major
LIGABUE,Seduto_in_riva_al_fosso.mid,C,major
LIGABUE,Balliamo_sul_mondo.mid,G,major
LIGABUE,Il_mio_nome_e_mai_piu.mid,B-,minor
LIGABUE,Piccola_citta_eterna.mid,D,major
LIGABUE,La_porta_dei_sogni.mid,C,major
LIGABUE,Una_vita_da_mediano.mid,G,major
LIGABUE,Sogni_di_rock_n_roll.mid,G,major
LIGABUE,Piccola_stella_senza_cielo.mid,B,minor
LIGABUE,Tra_palco_e_realta.mid,G,major
LIGABUE,Marlon_Brando_e_sempre_lui.mid,A-,major
LIGABUE,Ti_sento.mid,C,major
LIGABUE,Ancora_in_piedi.mid,A,major
LIGABUE,Leggero.mid,C,major
LIGABUE,Metti_in_circolo_il_tuo_amore.mid,B,major
LIGABUE,Bambolina_e_barracuda.mid,C,major
LIGABUE,Ho_messo_via.mid,G,major
LIGABUE,Bar_Mario.mid,A-,major
LIGABUE,Ho_perso_le_parole.mid,F,major
LIGABUE,Non_e_tempo_per_noi.mid,G,major
LIGABUE,"Hai_un_momento,_Dio.mid",G,major
LIGABUE,"Buon_compleanno,_Elvis.mid",A,major
LIGABUE,Uno_dei_tanti.mid,A,major
LIGABUE,Sulla_mia_strada.mid,E,major
LIGABUE,Lodore_del_sesso.mid,G,major
LIGABUE,Il_giorno_di_dolore_che_uno_ha.mid,G,major
LIGABUE,Certe_notti.mid,A,major
LIGABUE,Vivo_morto_o_X.mid,D,major
LIGABUE,Viva.mid,C,major
LIGABUE,Urlando_contro_il_cielo.mid,A,major
LIGABUE,Miss_Mondo_99.mid,C,major
LIGABUE,Libera_nos_a_malo.mid,D,minor
Al_Stewart,The_Year_of_the_Cat.mid,E,minor
Al_Stewart,On_The_Border.mid,F,minor
Al_Stewart,Time_Passages.mid,C,minor
Billie_Myers,Kiss_the_Rain.mid,A,major
The_Brian_Setzer_Orchestra,Jump_Jive_an_Wail.mid,D,minor
Metallica,Dont_Tread_on_Me.mid,E,minor
Metallica,Turn_the_Page.mid,G#,minor
Metallica,Wasting_My_Hate.mid,A,minor
Metallica,Battery.mid,E,minor
Metallica,Blackened.mid,E,minor
Metallica,Metal_Militia.mid,D,minor
Metallica,Hit_the_Lights.mid,D,major
Metallica,Enter_Sandman.mid,E,minor
Metallica,I_Disappear.mid,E-,minor
Metallica,Orion.mid,A,major
Metallica,Jump_in_the_Fire.mid,E-,major
Metallica,Welcome_Home_Sanitarium_.mid,E,minor
Metallica,The_God_That_Failed.mid,E-,minor
Metallica,The_Four_Horsemen.mid,A,minor
Metallica,The_Memory_Remains.mid,E,minor
Metallica,The_Unforgiven.mid,A,minor
Metallica,Poor_Twisted_Me.mid,C#,minor
Metallica,To_Live_Is_to_Die.mid,E,minor
Metallica,No_Leaf_Clover.mid,E-,minor
Metallica,Nothing_Else_Matters.mid,E,minor
Metallica,Ronnie.mid,G#,minor
Metallica,Disposable_Heroes.mid,A,major
Metallica,2_X_4.mid,E,minor
Metallica,Harvester_of_Sorrow.mid,E,minor
Metallica,So_What.mid,D,minor
Metallica,Fuel.mid,E-,minor
Metallica,For_Whom_the_Bell_Tolls.mid,E,minor
Metallica,Hero_of_the_Day.mid,A,major
Metallica,The_Thing_That_Should_Not_Be.mid,A,minor
Metallica,The_Struggle_Within.mid,E,minor
Metallica,Eye_of_the_Beholder.mid,E,minor
Metallica,Blitzkrieg.mid,E,minor
Metallica,Leper_Messiah.mid,E,minor
Metallica,"Damage,_Inc..mid",E,minor
Metallica,The_Shortest_Straw.mid,error,error
Metallica,Creeping_Death.mid,A,minor
Metallica,Am_I_Evil.mid,A,minor
Metallica,Sad_but_True.mid,G,minor
Metallica,Whiplash.mid,E,minor
Metallica,Low_Mans_Lyric_acoustic_.mid,E-,minor
Metallica,Motorbreath.mid,B,minor
Metallica,Wherever_I_May_Roam.mid,C,major
Metallica,Thorn_Within.mid,D,major
Metallica,Dyers_Eve.mid,E,minor
Metallica,Last_Caress.mid,C,minor
Metallica,Anesthesia-Pulling_Teeth.mid,A,minor
Metallica,Fight_Fire_With_Fire.mid,E,minor
Metallica,No_Remorse.mid,E,minor
Metallica,Trapped_Under_Ice.mid,D,major
Metallica,Master_of_Puppets.mid,E,minor
Metallica,Human.mid,C#,minor
Metallica,Cure.mid,C,minor
Metallica,Carpe_Diem_Baby.mid,A,minor
Metallica,The_House_Jack_Built.mid,C,major
Metallica,One.mid,E,minor
Metallica,Fade_to_Black.mid,E,minor
Metallica,Until_It_Sleeps.mid,G#,minor
Metallica,Bleeding_Me.mid,E,minor
Metallica,"Die,_Die_My_Darling.mid",B-,minor
Metallica,...and_Justice_for_All.mid,E,minor
Metallica,Through_the_Never.mid,E,minor
Metallica,Holier_Than_Thou.mid,E,minor
Metallica,Fixxxer.mid,E-,minor
Metallica,Whiskey_in_the_Jar.mid,C,major
Metallica,Aint_My_Bitch.mid,E,minor
Metallica,Seek_Destroy.mid,A,minor
Metallica,Of_Wolf_and_Man.mid,C,major
Metallica,Ride_the_Lightning.mid,E,minor
Metallica,My_Friend_of_Misery.mid,A,minor
Metallica,Mama_Said.mid,D,minor
Metallica,King_Nothing.mid,E,minor
Metallica,The_Frayed_Ends_of_Sanity.mid,E,minor
Metallica,Outlaw_Torn.mid,E,minor
Travis_Tritt,Double_Trouble.mid,C,major
Johnny_Logan,Whats_Another_Year.mid,F,major
Traffic,Dear_Mr._Fantasy.mid,D,major
Traffic,Hole_in_My_Shoe.mid,E,minor
Traffic,Who_Knows_What_Tomorrow_May_Bring.mid,C#,major
Traffic,Feelin_All_Right.mid,F,major
Traffic,The_Low_Spark_of_High_Heeled_Boys.mid,G,major
Traffic,Coloured_Rain.mid,G,major
Traffic,Paper_Sun.mid,G,major
Traffic,John_Barleycorn_Must_Die_.mid,D,minor
Traffic,Smiling_Phases.mid,C,minor
Traffic,"40,000_Headmen.mid",E,minor
Peter_Gabriel,In_Your_Eyes.mid,A,major
Peter_Gabriel,Digging_in_the_Dirt.mid,A-,major
Peter_Gabriel,Solsbury_Hill.mid,E,major
Peter_Gabriel,Humdrum.mid,B,major
Peter_Gabriel,Dont_Give_Up.mid,E-,major
Peter_Gabriel,Steam.mid,G#,minor
Peter_Gabriel,Lead_a_Normal_Life.mid,G,major
Peter_Gabriel,Games_Without_Frontiers.mid,E-,minor
Peter_Gabriel,Walk_Through_the_Fire.mid,C#,minor
Peter_Gabriel,I_Have_the_Touch.mid,E,major
Peter_Gabriel,That_Voice_Again.mid,G#,minor
Peter_Gabriel,Shock_the_Monkey.mid,F,major
Peter_Gabriel,Sledgehammer.mid,A-,major
Inner_City,Whatcha_Gonna_Do_With_My_Lovin.mid,B,minor
Inner_City,Good_Life.mid,E,minor
Ted_Nugent,Cat_Scratch_Fever.mid,A,minor
Christie_Lou,Lightning_Strikes_Again.mid,E-,major
Gerry_Rafferty,Baker_Street.mid,D,minor
Gerry_Rafferty,Bakerstreet.mid,A,major
Gerry_Rafferty,Right_Down_The_Line.mid,A,minor
Alunni_del_Sole,Isa..._Isabella.mid,C,minor
The_Easybeats,Friday_On_My_Mind.mid,D,major
EMF,Unbelievable.mid,A,minor
Carly_Simon,Half_a_Chance.mid,A,minor
Carly_Simon,Thats_The_Way_Ive_Always_Heard_It_Should_Be.mid,G,major
Carly_Simon,We_Have_No_Secrets.mid,F#,major
Carly_Simon,Mockingbird.mid,A,major
Carly_Simon,Attitude_Dancing.mid,D,minor
Carly_Simon,Nobody_Does_It_Better.mid,F,major
Valens_Ritchie,La_Bamba.mid,C,major
Wendy_Moten,Come_in_Out_of_the_Rain.mid,F,major
